item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM0042,ORD0481,PROD0370,3,3991.19,39
ITEM0043,ORD0144,PROD0013,1,2482.74,38
ITEM0044,ORD0485,PROD0235,1,3763.54,1
ITEM0045,ORD0425,PROD0228,3,571.49,34
ITEM0046,ORD0295,PROD0354,1,3077.76,15
ITEM0047,ORD0058,PROD0096,5,1447.38,26
ITEM0048,ORD0052,PROD0151,4,2602.08,9
ITEM0049,ORD0484,PROD0428,3,483.34,30
ITEM0050,ORD0252,PROD0197,4,1789.55,25
ITEM0051,ORD0324,PROD0208,3,4966.8,22
ITEM0052,ORD0002,PROD0269,3,378.09,44
ITEM0053,ORD0318,PROD0278,2,3693.77,49
ITEM0054,ORD0057,PROD0490,2,3210.51,46
ITEM0055,ORD0128,PROD0399,4,2679.65,15
ITEM0056,ORD0388,PROD0201,2,1103.51,12
ITEM0057,ORD0420,PROD0076,2,1941.38,39
ITEM0058,ORD0051,PROD0178,1,4560.07,45
ITEM0059,ORD0078,PROD0050,3,494.0,23
ITEM0060,ORD0003,PROD0182,1,2937.86,22
ITEM0061,ORD0079,PROD0199,2,1696.88,11
ITEM0062,ORD0431,PROD0084,1,1925.54,7
ITEM0063,ORD0196,PROD0467,5,553.68,26
ITEM0064,ORD0304,PROD0158,2,3542.81,9
ITEM0065,ORD0471,PROD0215,1,4017.72,41
ITEM0066,ORD0393,PROD0336,2,2939.73,18
ITEM0067,ORD0201,PROD0033,1,2152.59,32
ITEM0068,ORD0485,PROD0433,1,745.41,26
ITEM0069,ORD0203,PROD0229,5,1312.11,23
ITEM0070,ORD0003,PROD0379,5,4258.89,38
ITEM0071,ORD0087,PROD0485,1,3334.96,5
ITEM0072,ORD0313,PROD0143,2,893.74,45
ITEM0073,ORD0442,PROD0402,4,4720.15,40
ITEM0074,ORD0275,PROD0007,3,3984.11,43
ITEM0075,ORD0175,PROD0309,5,4757.92,42
ITEM0076,ORD0376,PROD0034,4,4099.21,20
ITEM0077,ORD0497,PROD0396,5,1012.17,37
ITEM0078,ORD0449,PROD0206,4,2438.99,23
ITEM0079,ORD0479,PROD0416,2,4852.83,19
ITEM0080,ORD0200,PROD0037,5,3469.28,20
ITEM0081,ORD0316,PROD0377,5,4604.83,27
ITEM0082,ORD0009,PROD0007,3,1742.2,26
ITEM0083,ORD0338,PROD0337,4,2524.27,5
ITEM0084,ORD0461,PROD0470,5,3227.7,44
ITEM0085,ORD0271,PROD0272,4,1260.93,7
ITEM0086,ORD0338,PROD0435,5,2003.47,1
ITEM0087,ORD0446,PROD0097,1,3909.9,39
ITEM0088,ORD0008,PROD0070,1,291.39,7
ITEM0089,ORD0354,PROD0261,5,2398.67,31
ITEM0090,ORD0329,PROD0424,2,2909.0,8
ITEM0091,ORD0237,PROD0191,3,3604.28,48
ITEM0092,ORD0097,PROD0355,3,1148.79,18
ITEM0093,ORD0242,PROD0052,1,271.65,9
ITEM0094,ORD0063,PROD0055,2,781.52,2
ITEM0095,ORD0060,PROD0273,2,2543.81,49
ITEM0096,ORD0028,PROD0157,3,4039.71,20
ITEM0097,ORD0089,PROD0173,1,631.62,30
ITEM0098,ORD0206,PROD0160,3,658.99,27
ITEM0099,ORD0355,PROD0265,1,3546.74,42
ITEM0100,ORD0276,PROD0500,2,368.17,49
ITEM0101,ORD0459,PROD0427,1,1686.71,47
ITEM0102,ORD0152,PROD0228,4,603.05,34
ITEM0103,ORD0124,PROD0106,5,920.94,6
ITEM0104,ORD0478,PROD0303,1,3091.97,23
ITEM0105,ORD0203,PROD0289,3,2279.52,36
ITEM0106,ORD0156,PROD0445,2,133.85,42
ITEM0107,ORD0371,PROD0283,1,1116.26,19
ITEM0108,ORD0234,PROD0103,5,1276.43,18
ITEM0109,ORD0229,PROD0084,3,360.8,5
ITEM0110,ORD0273,PROD0040,1,162.92,0
ITEM0111,ORD0401,PROD0441,2,913.41,11
ITEM0112,ORD0249,PROD0203,3,2934.05,27
ITEM0113,ORD0438,PROD0202,3,3749.72,40
ITEM0114,ORD0352,PROD0364,1,3044.9,29
ITEM0115,ORD0015,PROD0163,5,819.37,40
ITEM0116,ORD0477,PROD0325,5,878.96,45
ITEM0117,ORD0233,PROD0207,5,2189.85,9
ITEM0118,ORD0059,PROD0002,2,907.89,9
ITEM0119,ORD0322,PROD0016,5,461.27,15
ITEM0120,ORD0168,PROD0254,2,2350.29,12
ITEM0121,ORD0248,PROD0052,5,3051.69,20
ITEM0122,ORD0212,PROD0310,2,784.76,46
ITEM0123,ORD0053,PROD0338,3,3939.46,2
ITEM0124,ORD0270,PROD0008,3,3182.18,37
ITEM0125,ORD0235,PROD0341,1,2045.86,46
ITEM0126,ORD0307,PROD0116,4,1648.08,37
ITEM0127,ORD0125,PROD0276,2,1087.61,39
ITEM0128,ORD0225,PROD0061,1,3102.54,39
ITEM0129,ORD0366,PROD0139,5,1063.53,34
ITEM0130,ORD0270,PROD0360,1,2873.68,18
ITEM0131,ORD0168,PROD0291,3,4783.73,8
ITEM0132,ORD0086,PROD0480,3,4892.72,25
ITEM0133,ORD0024,PROD0077,5,1498.66,6
ITEM0134,ORD0017,PROD0424,2,3214.39,32
ITEM0135,ORD0264,PROD0177,3,600.59,7
ITEM0136,ORD0197,PROD0369,5,4425.33,8
ITEM0137,ORD0303,PROD0319,4,4727.8,30
ITEM0138,ORD0292,PROD0313,5,2657.16,27
ITEM0139,ORD0217,PROD0159,4,1219.42,50
ITEM0140,ORD0179,PROD0313,2,383.08,30
ITEM0141,ORD0060,PROD0334,1,2004.47,0
ITEM0142,ORD0330,PROD0189,1,1487.31,33
ITEM0143,ORD0040,PROD0326,3,2445.52,33
ITEM0144,ORD0149,PROD0371,1,4885.91,40
ITEM0145,ORD0329,PROD0121,2,3200.06,28
ITEM0146,ORD0406,PROD0265,3,3473.42,42
ITEM0147,ORD0006,PROD0363,5,776.83,20
ITEM0148,ORD0007,PROD0379,5,343.14,25
ITEM0149,ORD0360,PROD0330,4,150.53,46
ITEM0150,ORD0043,PROD0061,4,4570.25,15
ITEM0151,ORD0086,PROD0019,5,3899.24,24
ITEM0152,ORD0234,PROD0392,5,3447.86,7
ITEM0153,ORD0461,PROD0333,1,240.13,21
ITEM0154,ORD0399,PROD0475,2,3837.59,20
ITEM0155,ORD0113,PROD0325,3,978.7,25
ITEM0156,ORD0298,PROD0302,4,4035.63,3
ITEM0157,ORD0096,PROD0149,2,3835.47,16
ITEM0158,ORD0308,PROD0462,4,3507.86,25
ITEM0159,ORD0362,PROD0473,2,1311.38,14
ITEM0160,ORD0476,PROD0012,4,2687.78,26
ITEM0161,ORD0286,PROD0321,1,290.31,21
ITEM0162,ORD0015,PROD0268,1,1016.5,29
ITEM0163,ORD0242,PROD0419,3,3180.54,18
ITEM0164,ORD0016,PROD0142,5,326.37,4
ITEM0165,ORD0317,PROD0199,4,2121.42,24
ITEM0166,ORD0308,PROD0392,2,3320.74,3
ITEM0167,ORD0261,PROD0151,4,443.65,2
ITEM0168,ORD0203,PROD0053,2,545.86,47
ITEM0169,ORD0159,PROD0354,4,2268.21,36
ITEM0170,ORD0169,PROD0188,1,3251.51,8
ITEM0171,ORD0101,PROD0024,4,1191.93,16
ITEM0172,ORD0152,PROD0420,3,2723.73,30
ITEM0173,ORD0255,PROD0163,3,4241.03,6
ITEM0174,ORD0484,PROD0048,3,3175.12,13
ITEM0175,ORD0036,PROD0275,5,3928.18,41
ITEM0176,ORD0415,PROD0209,1,1690.7,16
ITEM0177,ORD0445,PROD0201,2,391.76,23
ITEM0178,ORD0047,PROD0478,2,4225.17,50
ITEM0179,ORD0186,PROD0261,3,2235.87,5
ITEM0180,ORD0302,PROD0100,4,1017.05,7
ITEM0181,ORD0404,PROD0277,1,1517.42,11
ITEM0182,ORD0142,PROD0123,5,4565.49,30
ITEM0183,ORD0429,PROD0169,4,1125.04,38
ITEM0184,ORD0409,PROD0355,4,2673.97,3
ITEM0185,ORD0099,PROD0113,5,266.35,50
ITEM0186,ORD0393,PROD0061,3,2326.7,40
ITEM0187,ORD0448,PROD0471,1,3089.04,40
ITEM0188,ORD0483,PROD0019,1,3791.29,5
ITEM0189,ORD0473,PROD0327,2,3706.42,43
ITEM0190,ORD0185,PROD0253,3,2713.88,47
ITEM0191,ORD0141,PROD0363,4,3165.77,31
ITEM0192,ORD0462,PROD0344,4,2135.55,2
ITEM0193,ORD0475,PROD0417,2,1746.53,17
ITEM0194,ORD0035,PROD0411,3,2639.96,42
ITEM0195,ORD0478,PROD0291,5,4443.08,16
ITEM0196,ORD0307,PROD0015,2,545.92,22
ITEM0197,ORD0341,PROD0089,1,814.33,26
ITEM0198,ORD0092,PROD0349,2,4716.44,4
ITEM0199,ORD0269,PROD0273,2,2276.96,27
ITEM0200,ORD0234,PROD0311,3,4765.08,22
ITEM0201,ORD0451,PROD0458,5,2870.85,42
ITEM0202,ORD0113,PROD0105,1,3171.97,10
ITEM0203,ORD0196,PROD0371,5,605.29,42
ITEM0204,ORD0478,PROD0378,5,1789.43,22
ITEM0205,ORD0381,PROD0162,5,3629.9,22
ITEM0206,ORD0068,PROD0202,5,4422.34,49
ITEM0207,ORD0434,PROD0356,3,1317.24,12
ITEM0208,ORD0221,PROD0244,3,4899.11,29
ITEM0209,ORD0027,PROD0201,4,3897.32,8
ITEM0210,ORD0314,PROD0117,2,1202.09,24
ITEM0211,ORD0457,PROD0401,3,1272.7,24
ITEM0212,ORD0133,PROD0190,3,2753.04,13
ITEM0213,ORD0183,PROD0169,2,3271.77,39
ITEM0214,ORD0071,PROD0430,4,4318.23,22
ITEM0215,ORD0452,PROD0090,4,1208.07,0
ITEM0216,ORD0310,PROD0138,2,2701.23,47
ITEM0217,ORD0212,PROD0125,3,3984.72,16
ITEM0218,ORD0395,PROD0278,5,2090.78,10
ITEM0219,ORD0138,PROD0340,1,4908.34,36
ITEM0220,ORD0464,PROD0458,5,3758.16,22
ITEM0221,ORD0348,PROD0061,2,1806.99,34
ITEM0222,ORD0132,PROD0248,1,2808.12,34
ITEM0223,ORD0125,PROD0259,2,4462.5,35
ITEM0224,ORD0396,PROD0237,2,334.37,5
ITEM0225,ORD0038,PROD0089,3,3438.19,14
ITEM0226,ORD0002,PROD0150,5,3461.62,38
ITEM0227,ORD0199,PROD0001,5,3279.05,35
ITEM0228,ORD0277,PROD0176,4,1577.57,10
ITEM0229,ORD0180,PROD0307,1,1250.81,29
ITEM0230,ORD0414,PROD0264,2,315.31,34
ITEM0231,ORD0108,PROD0270,3,4977.38,50
ITEM0232,ORD0360,PROD0243,1,492.49,14
ITEM0233,ORD0429,PROD0394,3,3769.38,5
ITEM0234,ORD0481,PROD0131,2,4164.74,19
ITEM0235,ORD0407,PROD0352,4,2453.26,40
ITEM0236,ORD0086,PROD0178,5,4492.42,40
ITEM0237,ORD0305,PROD0325,1,1787.67,26
ITEM0238,ORD0055,PROD0249,4,3916.92,11
ITEM0239,ORD0070,PROD0189,2,3894.88,40
ITEM0240,ORD0396,PROD0238,4,4983.08,21
ITEM0241,ORD0431,PROD0410,4,3289.43,45
ITEM0242,ORD0495,PROD0498,5,3342.63,31
ITEM0243,ORD0349,PROD0209,2,1401.2,48
ITEM0244,ORD0239,PROD0130,1,4256.07,22
ITEM0245,ORD0420,PROD0119,4,1433.95,47
ITEM0246,ORD0385,PROD0119,2,1921.63,22
ITEM0247,ORD0331,PROD0321,5,2945.26,27
ITEM0248,ORD0410,PROD0066,4,602.85,12
ITEM0249,ORD0392,PROD0170,5,3488.65,0
ITEM0250,ORD0360,PROD0301,3,365.28,43
ITEM0251,ORD0258,PROD0483,3,2339.27,46
ITEM0252,ORD0379,PROD0076,3,1947.95,31
ITEM0253,ORD0358,PROD0445,3,755.28,24
ITEM0254,ORD0002,PROD0477,1,256.3,22
ITEM0255,ORD0142,PROD0390,2,4314.84,48
ITEM0256,ORD0444,PROD0297,5,1527.1,23
ITEM0257,ORD0288,PROD0199,1,543.61,1
ITEM0258,ORD0292,PROD0109,4,3434.73,41
ITEM0259,ORD0153,PROD0270,5,3558.63,44
ITEM0260,ORD0141,PROD0263,5,3784.48,25
ITEM0261,ORD0333,PROD0370,3,3418.14,23
ITEM0262,ORD0136,PROD0018,1,3928.88,20
ITEM0263,ORD0388,PROD0327,4,3339.41,48
ITEM0264,ORD0337,PROD0394,5,3408.24,24
ITEM0265,ORD0165,PROD0138,5,4396.9,41
ITEM0266,ORD0432,PROD0270,4,576.11,18
ITEM0267,ORD0386,PROD0229,2,423.7,21
ITEM0268,ORD0409,PROD0269,1,445.29,25
ITEM0269,ORD0211,PROD0006,4,477.26,10
ITEM0270,ORD0246,PROD0003,5,4667.72,24
ITEM0271,ORD0058,PROD0035,5,3317.29,6
ITEM0272,ORD0156,PROD0480,1,3733.93,34
ITEM0273,ORD0173,PROD0187,3,4858.53,6
ITEM0274,ORD0214,PROD0240,1,3343.37,37
ITEM0275,ORD0264,PROD0476,4,127.95,24
ITEM0276,ORD0125,PROD0257,2,3847.9,28
ITEM0277,ORD0378,PROD0487,5,2185.4,42
ITEM0278,ORD0114,PROD0210,2,465.89,38
ITEM0279,ORD0100,PROD0339,5,2795.24,23
ITEM0280,ORD0256,PROD0081,5,4841.95,45
ITEM0281,ORD0277,PROD0224,2,395.13,7
ITEM0282,ORD0070,PROD0014,3,2856.92,30
ITEM0283,ORD0049,PROD0479,3,992.88,36
ITEM0284,ORD0137,PROD0113,1,2767.27,19
ITEM0285,ORD0098,PROD0199,3,4644.18,44
ITEM0286,ORD0312,PROD0294,4,1887.98,16
ITEM0287,ORD0473,PROD0399,5,2876.1,19
ITEM0288,ORD0148,PROD0452,2,525.4,14
ITEM0289,ORD0250,PROD0026,2,4242.71,25
ITEM0290,ORD0181,PROD0112,4,1595.29,10
ITEM0291,ORD0184,PROD0423,3,2205.42,37
ITEM0292,ORD0156,PROD0059,1,2287.27,9
ITEM0293,ORD0320,PROD0363,2,2558.01,8
ITEM0294,ORD0047,PROD0004,5,1691.65,47
ITEM0295,ORD0043,PROD0030,1,2558.93,12
ITEM0296,ORD0495,PROD0101,5,3891.57,27
ITEM0297,ORD0381,PROD0071,2,1508.35,17
ITEM0298,ORD0118,PROD0215,1,409.08,21
ITEM0299,ORD0201,PROD0263,2,1375.41,3
ITEM0300,ORD0141,PROD0260,5,3380.1,25
ITEM0301,ORD0474,PROD0447,4,4586.47,17
ITEM0302,ORD0074,PROD0196,3,2395.81,31
ITEM0303,ORD0131,PROD0432,5,2426.05,25
ITEM0304,ORD0002,PROD0090,4,1985.71,16
ITEM0305,ORD0231,PROD0431,3,243.71,38
ITEM0306,ORD0231,PROD0132,2,3574.95,17
ITEM0307,ORD0270,PROD0490,3,1646.25,19
ITEM0308,ORD0127,PROD0102,2,2476.19,9
ITEM0309,ORD0387,PROD0342,4,3526.42,6
ITEM0310,ORD0194,PROD0425,4,2158.83,16
ITEM0311,ORD0480,PROD0382,2,4096.92,12
ITEM0312,ORD0247,PROD0471,1,1283.82,12
ITEM0313,ORD0458,PROD0165,1,2087.33,13
ITEM0314,ORD0414,PROD0053,3,1027.83,25
ITEM0315,ORD0023,PROD0087,2,4575.5,37
ITEM0316,ORD0175,PROD0196,4,1811.66,32
ITEM0317,ORD0039,PROD0239,2,4905.8,5
ITEM0318,ORD0105,PROD0089,2,1495.08,45
ITEM0319,ORD0189,PROD0414,3,4553.67,5
ITEM0320,ORD0049,PROD0036,2,1471.94,29
ITEM0321,ORD0391,PROD0147,3,2757.7,34
ITEM0322,ORD0169,PROD0040,4,4510.02,10
ITEM0323,ORD0105,PROD0340,4,2063.3,50
ITEM0324,ORD0445,PROD0186,1,587.67,48
ITEM0325,ORD0135,PROD0079,5,552.52,43
ITEM0326,ORD0002,PROD0284,1,3335.13,32
ITEM0327,ORD0299,PROD0414,1,2572.87,7
ITEM0328,ORD0145,PROD0363,2,896.54,19
ITEM0329,ORD0434,PROD0426,2,1093.3,48
ITEM0330,ORD0009,PROD0464,4,4020.9,50
ITEM0331,ORD0242,PROD0115,4,206.96,34
ITEM0332,ORD0160,PROD0337,4,2364.46,14
ITEM0333,ORD0326,PROD0020,5,1321.54,29
ITEM0334,ORD0044,PROD0447,4,2229.96,8
ITEM0335,ORD0294,PROD0472,4,3964.48,14
ITEM0336,ORD0490,PROD0084,1,3987.38,45
ITEM0337,ORD0380,PROD0182,3,1305.08,36
ITEM0338,ORD0047,PROD0053,4,4620.11,22
ITEM0339,ORD0281,PROD0375,5,768.09,9
ITEM0340,ORD0107,PROD0077,5,3906.54,7
ITEM0341,ORD0009,PROD0244,4,1020.23,32
ITEM0342,ORD0259,PROD0324,4,4459.11,9
ITEM0343,ORD0367,PROD0496,3,909.27,44
ITEM0344,ORD0262,PROD0390,5,2164.65,28
ITEM0345,ORD0264,PROD0439,4,2264.55,26
ITEM0346,ORD0327,PROD0461,2,3325.12,16
ITEM0347,ORD0078,PROD0191,3,3511.89,40
ITEM0348,ORD0385,PROD0053,5,3171.55,24
ITEM0349,ORD0300,PROD0405,3,2704.05,29
ITEM0350,ORD0284,PROD0203,2,2550.72,26
ITEM0351,ORD0256,PROD0095,1,2707.84,5
ITEM0352,ORD0208,PROD0374,1,1767.14,29
ITEM0353,ORD0264,PROD0425,2,1122.05,45
ITEM0354,ORD0465,PROD0337,1,1975.99,0
ITEM0355,ORD0412,PROD0207,2,2180.16,27
ITEM0356,ORD0085,PROD0111,5,669.26,47
ITEM0357,ORD0029,PROD0049,4,4575.57,40
ITEM0358,ORD0242,PROD0379,1,1133.48,50
ITEM0359,ORD0296,PROD0011,1,3393.88,5
ITEM0360,ORD0253,PROD0246,4,3807.64,7
ITEM0361,ORD0329,PROD0500,3,3076.13,43
ITEM0362,ORD0414,PROD0396,4,3115.26,27
ITEM0363,ORD0194,PROD0173,5,3869.54,32
ITEM0364,ORD0428,PROD0154,2,4570.02,50
ITEM0365,ORD0099,PROD0007,1,1519.65,40
ITEM0366,ORD0218,PROD0210,2,4792.47,11
ITEM0367,ORD0482,PROD0365,3,1166.91,45
ITEM0368,ORD0257,PROD0042,1,2622.38,37
ITEM0369,ORD0263,PROD0248,1,3580.97,0
ITEM0370,ORD0329,PROD0349,5,4842.53,7
ITEM0371,ORD0166,PROD0466,4,2453.77,1
ITEM0372,ORD0143,PROD0407,4,904.61,10
ITEM0373,ORD0174,PROD0178,1,2374.75,8
ITEM0374,ORD0074,PROD0094,4,4978.06,28
ITEM0375,ORD0268,PROD0430,4,3445.68,9
ITEM0376,ORD0112,PROD0370,3,1907.44,3
ITEM0377,ORD0425,PROD0369,5,238.59,30
ITEM0378,ORD0113,PROD0388,5,2435.02,34
ITEM0379,ORD0256,PROD0373,4,3089.4,25
ITEM0380,ORD0156,PROD0028,4,1973.47,46
ITEM0381,ORD0363,PROD0482,3,2920.91,35
ITEM0382,ORD0041,PROD0272,1,2726.92,2
ITEM0383,ORD0044,PROD0092,2,1472.3,29
ITEM0384,ORD0296,PROD0224,5,1491.87,34
ITEM0385,ORD0057,PROD0372,1,3610.13,20
ITEM0386,ORD0180,PROD0060,1,2361.64,11
ITEM0387,ORD0111,PROD0484,4,4895.2,46
ITEM0388,ORD0419,PROD0372,5,2346.5,42
ITEM0389,ORD0006,PROD0173,1,3596.5,26
ITEM0390,ORD0044,PROD0315,1,1896.78,24
ITEM0391,ORD0101,PROD0433,3,4066.04,14
ITEM0392,ORD0370,PROD0237,2,1939.66,6
ITEM0393,ORD0462,PROD0369,2,3851.58,32
ITEM0394,ORD0204,PROD0376,1,4826.37,34
ITEM0395,ORD0436,PROD0061,5,4219.91,45
ITEM0396,ORD0209,PROD0480,5,3256.69,29
ITEM0397,ORD0391,PROD0437,5,3937.16,6
ITEM0398,ORD0376,PROD0104,2,427.26,27
ITEM0399,ORD0224,PROD0324,1,3499.54,29
ITEM0400,ORD0410,PROD0289,5,765.53,37
ITEM0401,ORD0301,PROD0167,5,590.67,4
ITEM0402,ORD0346,PROD0282,5,4627.54,48
ITEM0403,ORD0367,PROD0376,1,3326.25,11
ITEM0404,ORD0436,PROD0459,2,3269.99,50
ITEM0405,ORD0361,PROD0488,3,3052.75,5
ITEM0406,ORD0172,PROD0406,5,4927.28,21
ITEM0407,ORD0363,PROD0044,4,1491.86,21
ITEM0408,ORD0088,PROD0115,5,1834.28,17
ITEM0409,ORD0481,PROD0277,4,2129.25,14
ITEM0410,ORD0134,PROD0458,1,3718.41,12
ITEM0411,ORD0326,PROD0460,3,275.22,29
ITEM0412,ORD0147,PROD0118,2,4579.53,2
ITEM0413,ORD0415,PROD0176,4,810.44,44
ITEM0414,ORD0003,PROD0320,2,109.88,35
ITEM0415,ORD0375,PROD0087,2,1065.07,41
ITEM0416,ORD0278,PROD0019,1,1136.05,16
ITEM0417,ORD0367,PROD0087,4,2610.01,0
ITEM0418,ORD0064,PROD0306,4,4105.31,17
ITEM0419,ORD0058,PROD0047,1,3262.01,15
ITEM0420,ORD0140,PROD0404,3,3847.16,36
ITEM0421,ORD0024,PROD0014,5,3247.5,36
ITEM0422,ORD0004,PROD0438,5,658.28,1
ITEM0423,ORD0473,PROD0212,2,2737.48,36
ITEM0424,ORD0055,PROD0089,2,2311.0,16
ITEM0425,ORD0369,PROD0385,4,4102.27,28
ITEM0426,ORD0143,PROD0385,4,3407.81,48
ITEM0427,ORD0463,PROD0146,5,4817.41,31
ITEM0428,ORD0201,PROD0043,5,4490.14,20
ITEM0429,ORD0178,PROD0233,4,4559.22,0
ITEM0430,ORD0306,PROD0399,2,594.71,10
ITEM0431,ORD0428,PROD0211,2,4750.87,20
ITEM0432,ORD0018,PROD0019,5,4437.64,45
ITEM0433,ORD0407,PROD0458,4,746.57,47
ITEM0434,ORD0291,PROD0390,3,3370.24,37
ITEM0435,ORD0273,PROD0082,5,950.38,6
ITEM0436,ORD0466,PROD0265,2,3990.37,11
ITEM0437,ORD0070,PROD0149,1,2381.74,31
ITEM0438,ORD0328,PROD0076,4,4185.81,27
ITEM0439,ORD0059,PROD0158,3,1514.1,43
ITEM0440,ORD0131,PROD0141,5,616.68,2
ITEM0441,ORD0233,PROD0194,2,1364.96,5
ITEM0442,ORD0384,PROD0429,2,3154.48,18
ITEM0443,ORD0229,PROD0290,4,4787.4,29
ITEM0444,ORD0026,PROD0321,4,715.32,46
ITEM0445,ORD0102,PROD0180,1,2584.19,7
ITEM0446,ORD0236,PROD0396,3,3079.83,22
ITEM0447,ORD0206,PROD0110,5,4700.91,39
ITEM0448,ORD0220,PROD0471,2,4326.81,45
ITEM0449,ORD0004,PROD0339,2,4251.7,19
ITEM0450,ORD0029,PROD0293,1,1565.96,32
ITEM0451,ORD0058,PROD0423,4,3539.11,20
ITEM0452,ORD0453,PROD0218,2,2993.56,30
ITEM0453,ORD0258,PROD0112,2,3773.46,13
ITEM0454,ORD0489,PROD0130,2,3872.6,2
ITEM0455,ORD0218,PROD0402,5,4590.93,21
ITEM0456,ORD0474,PROD0267,4,4674.26,33
ITEM0457,ORD0439,PROD0325,3,388.97,34
ITEM0458,ORD0084,PROD0050,2,3999.83,0
ITEM0459,ORD0123,PROD0122,2,602.54,21
ITEM0460,ORD0148,PROD0288,2,2434.72,7
ITEM0461,ORD0472,PROD0370,4,323.65,29
ITEM0462,ORD0321,PROD0267,2,1890.79,31
ITEM0463,ORD0141,PROD0132,3,4154.75,46
ITEM0464,ORD0146,PROD0426,2,3991.5,50
ITEM0465,ORD0482,PROD0147,3,2913.73,21
ITEM0466,ORD0458,PROD0389,1,1968.41,17
ITEM0467,ORD0471,PROD0210,2,1494.97,50
ITEM0468,ORD0097,PROD0037,1,869.0,26
ITEM0469,ORD0249,PROD0349,3,1879.34,8
ITEM0470,ORD0182,PROD0497,3,3769.79,5
ITEM0471,ORD0308,PROD0480,2,2779.87,20
ITEM0472,ORD0092,PROD0115,4,654.2,12
ITEM0473,ORD0062,PROD0269,1,155.62,30
ITEM0474,ORD0113,PROD0038,1,1118.36,43
ITEM0475,ORD0426,PROD0064,3,1759.43,8
ITEM0476,ORD0014,PROD0347,1,3621.02,46
ITEM0477,ORD0291,PROD0192,2,1209.33,45
ITEM0478,ORD0454,PROD0323,4,209.47,20
ITEM0479,ORD0026,PROD0281,1,480.62,12
ITEM0480,ORD0389,PROD0174,4,3014.36,3
ITEM0481,ORD0329,PROD0024,2,327.68,42
ITEM0482,ORD0237,PROD0064,3,4230.9,19
ITEM0483,ORD0132,PROD0440,1,4546.72,3
ITEM0484,ORD0252,PROD0386,5,4940.84,6
ITEM0485,ORD0261,PROD0136,3,1002.13,4
ITEM0486,ORD0004,PROD0036,2,1730.87,38
ITEM0487,ORD0213,PROD0194,2,2266.91,9
ITEM0488,ORD0343,PROD0169,1,263.38,40
ITEM0489,ORD0422,PROD0304,3,1930.12,38
ITEM0490,ORD0306,PROD0433,1,4203.62,30
ITEM0491,ORD0215,PROD0156,3,2154.42,41
ITEM0492,ORD0269,PROD0407,5,4936.54,17
ITEM0493,ORD0276,PROD0085,5,4242.87,24
ITEM0494,ORD0038,PROD0024,1,592.35,8
ITEM0495,ORD0199,PROD0143,2,1588.58,37
ITEM0496,ORD0263,PROD0050,2,1088.82,8
ITEM0497,ORD0249,PROD0158,3,3908.69,38
ITEM0498,ORD0047,PROD0199,3,545.73,36
ITEM0499,ORD0423,PROD0465,2,3871.5,22
ITEM0500,ORD0324,PROD0187,5,2989.45,2
